gc.content	chrom.arm
chr1_15522386	0.470362899495	chr1
chr1_15576422	0.450187148004	chr1
chr1_15633595	0.484460897733	chr1
chr1_15687619	0.504273042946	chr1
chr1_15743199	0.512502917347	chr1
chr1_15803184	0.474758943248	chr1
chr1_15862194	0.4525365041	chr1
chr1_15923419	0.444685828877	chr1
chr1_15983258	0.47035698752	chr1
chr1_16043035	0.568651807271	chr1
chr1_16100192	0.491761086294	chr1
chr1_16167797	0.430158912001	chr1
chr1_16228899	0.47510026738	chr1
chr1_16282754	0.487414147447	chr1
chr1_16339682	0.590055389317	chr1
chr1_16402509	0.533221223145	chr1
chr1_16460784	0.55423023074	chr1
chr1_16515780	0.53645635201	chr1
chr1_16570982	0.440494251711	chr1
chr1_16630303	0.449122593224	chr1
chr1_16695950	0.499015813705	chr1
chr1_16755897	0.494325187316	chr1
chr1_16819158	0.456700461678	chr1
chr1_16949551	0.513659365488	chr1
chr1_17056656	0.470711519075	chr1
chr1_17257431	0.565670137723	chr1
chr1_17322924	0.475932994063	chr1
chr1_17379515	0.507775184055	chr1
chr1_17435204	0.487374015027	chr1
chr1_17489773	0.493963127639	chr1
chr1_17543525	0.520873595137	chr1
chr1_17596821	0.483709540034	chr1
chr1_17653172	0.502874857123	chr1
chr1_17710913	0.524517807482	chr1
chr1_17766647	0.486399565472	chr1
chr1_17836607	0.515008808191	chr1
chr1_17893939	0.544670118147	chr1
chr1_17946669	0.555969429112	chr1
chr1_17998482	0.531219085306	chr1
chr1_18051045	0.509361799292	chr1
chr1_18103598	0.466735228123	chr1
chr1_18157077	0.496182338341	chr1
chr1_18209857	0.485484903136	chr1
chr1_18261423	0.477906250591	chr1
chr1_18314265	0.480561430494	chr1
chr1_18366274	0.48880186732	chr1
chr1_18418112	0.508835739041	chr1
chr1_18470625	0.501071729312	chr1
chr1_18522876	0.485608224982	chr1
chr1_18574328	0.502858582531	chr1
chr1_18625926	0.496975273596	chr1
chr1_18677004	0.495210709359	chr1
chr1_18728472	0.462805857345	chr1
chr1_18781396	0.476082813259	chr1
chr1_18834913	0.467541396895	chr1
chr1_18887271	0.49115132594	chr1
chr1_18942363	0.516821278725	chr1
chr1_18994320	0.522131820557	chr1
chr1_19047907	0.488058610876	chr1
chr1_19099910	0.508115020781	chr1
chr1_19153082	0.51712979111	chr1
chr1_19204687	0.543074227825	chr1
chr1_19257200	0.503479266605	chr1
chr1_19309940	0.463096407905	chr1
chr1_19364893	0.527875647668	chr1
chr1_19417967	0.441955392367	chr1
chr1_19469168	0.418079632407	chr1
chr1_19521834	0.449372161368	chr1
chr1_19577978	0.493564283007	chr1
chr1_19638654	0.537767361175	chr1
chr1_19692840	0.496496152451	chr1
chr1_19745210	0.466742161249	chr1
chr1_19799076	0.467620585406	chr1
chr1_19857291	0.452255206445	chr1
chr1_19920721	0.462118530057	chr1
chr1_19977212	0.526133893897	chr1
chr1_20033345	0.483581872936	chr1
chr1_20088466	0.48608202209	chr1
chr1_20144328	0.424240366661	chr1
chr1_20203237	0.444712340962	chr1
chr1_20257154	0.461630502723	chr1
chr1_20313148	0.405	chr1
chr1_20378947	0.464828404121	chr1
chr1_20432910	0.49828426946	chr1
chr1_20488279	0.490807648347	chr1
chr1_20539897	0.446532032653	chr1
chr1_20593919	0.500423581963	chr1
chr1_20645856	0.501440647242	chr1
chr1_20698262	0.480553622516	chr1
chr1_20749993	0.488252459875	chr1
chr1_20803450	0.488171851324	chr1
chr1_20859544	0.484495115137	chr1
chr1_20917170	0.484445195068	chr1
chr1_20976379	0.520034100597	chr1
chr1_21033855	0.492489211777	chr1
chr1_21088775	0.433678617071	chr1
chr1_21148242	0.391919261862	chr1
chr1_21206008	0.376587308838	chr1
chr1_21260738	0.37553699504	chr1
chr1_21314974	0.395360262009	chr1
chr1_21369933	0.390870477458	chr1
chr1_21428555	0.397003810789	chr1
chr1_21485760	0.466992354789	chr1
chr1_21548805	0.512613770399	chr1
chr1_21605607	0.520644110729	chr1
chr1_21660876	0.493952588292	chr1
chr1_21722885	0.450494568255	chr1
chr1_21805178	0.494812299566	chr1
chr1_21868789	0.536293720084	chr1
chr1_21924569	0.564486726672	chr1
chr1_21977230	0.481254373366	chr1
chr1_22031535	0.40334473178	chr1
chr1_22087682	0.482202831225	chr1
chr1_22151399	0.568529199712	chr1
chr1_22206878	0.546990086947	chr1
chr1_22261048	0.505059721301	chr1
chr1_22345439	0.455246691312	chr1
chr1_22407925	0.475253051503	chr1
chr1_22461668	0.528884924838	chr1
chr1_22515484	0.4999720738	chr1
chr1_22569196	0.534021622675	chr1
chr1_22620530	0.478684824039	chr1
chr1_22674575	0.482655536127	chr1
chr1_22727761	0.445455528326	chr1
chr1_22783256	0.406338621905	chr1
chr1_22835443	0.510774080695	chr1
chr1_22887465	0.553527861813	chr1
chr1_22938699	0.52256274819	chr1
chr1_22991329	0.506645224496	chr1
chr1_23045427	0.510960254854	chr1
chr1_23098162	0.525191611874	chr1
chr1_23149567	0.5104275188	chr1
chr1_23202359	0.519145664566	chr1
chr1_23255686	0.468297023942	chr1
chr1_23314118	0.417020078192	chr1
chr1_23374481	0.411408321902	chr1
chr1_23426968	0.417292168248	chr1
chr1_23483455	0.473576305935	chr1
chr1_23542473	0.469768203784	chr1
chr1_23603517	0.379307189782	chr1
chr1_23658163	0.460225166009	chr1
chr1_23717496	0.497175040864	chr1
chr1_23773779	0.487192010374	chr1
chr1_23833155	0.504591352074	chr1
chr1_23890000	0.49045151214	chr1
chr1_23946343	0.480172607398	chr1
chr1_24008680	0.468792590757	chr1
chr1_24073247	0.484612042749	chr1
chr1_24130791	0.457102362205	chr1
chr1_24194290	0.477671360277	chr1
chr1_24255578	0.455978004913	chr1
chr1_24412703	0.519009692689	chr1
chr1_24465938	0.482124598633	chr1
chr1_24521684	0.477657527233	chr1
chr1_24578324	0.456363699607	chr1
chr1_24635821	0.500940925405	chr1
chr1_24687365	0.430796272846	chr1
chr1_24740273	0.451559475957	chr1
chr1_24794008	0.447632536019	chr1
chr1_24851199	0.459929453263	chr1
chr1_24907898	0.44865363644	chr1
chr1_24967502	0.439458387704	chr1
chr1_25026510	0.482530975427	chr1
chr1_25089220	0.411939514342	chr1
chr1_25150126	0.451667510166	chr1
chr1_25207426	0.525622952069	chr1
chr1_25259917	0.51997795536	chr1
chr1_25310722	0.532335224962	chr1
chr1_25362352	0.508688048817	chr1
chr1_25416103	0.481893439335	chr1
chr1_25470944	0.45756497165	chr1
chr1_25526852	0.454117845402	chr1
chr1_25586166	0.455566905005	chr1
chr1_25705603	0.445893105744	chr1
chr1_25788207	0.436443443639	chr1
chr1_25849490	0.537865567168	chr1
chr1_25901634	0.481444092737	chr1
chr1_25960078	0.461571000313	chr1
chr1_26014450	0.483391849415	chr1
chr1_26068850	0.525232341131	chr1
chr1_26121896	0.50063084459	chr1
chr1_26175791	0.48655368023	chr1
chr1_26232906	0.465387078292	chr1
chr1_26292247	0.476078208923	chr1
chr1_26348659	0.519705199247	chr1
chr1_26403339	0.444651656173	chr1
chr1_26461786	0.518634610085	chr1
chr1_26519849	0.468006884912	chr1
chr1_26579689	0.511185903781	chr1
chr1_26635249	0.523228060466	chr1
chr1_26693066	0.473429791193	chr1
chr1_26753264	0.461063464837	chr1
chr1_26814478	0.507568411538	chr1
chr1_26875322	0.485657061636	chr1
chr1_26937233	0.446153168238	chr1
chr1_27005314	0.452436236336	chr1
chr1_27061301	0.46934169279	chr1
chr1_27117125	0.499976369394	chr1
chr1_27180601	0.503061139378	chr1
chr1_27240545	0.492235923534	chr1
chr1_27301852	0.510180212829	chr1
chr1_27362557	0.500752044621	chr1
chr1_27426382	0.524631084355	chr1
chr1_27480865	0.456556495451	chr1
chr1_27549666	0.444238185921	chr1
chr1_27612154	0.508263749914	chr1
chr1_27670117	0.561718305856	chr1
chr1_27726404	0.45017427527	chr1
chr1_27785218	0.470159748448	chr1
chr1_27848504	0.56367267769	chr1
chr1_27900574	0.544372500476	chr1
chr1_27953083	0.498191590049	chr1
chr1_28012250	0.442996530436	chr1
chr1_28073640	0.422094065518	chr1
chr1_28132768	0.463786213786	chr1
chr1_28196831	0.472612071371	chr1
chr1_28257751	0.485657643117	chr1
chr1_28314749	0.39524522321	chr1
chr1_28371533	0.392607174103	chr1
chr1_28430968	0.468365597483	chr1
chr1_28491044	0.458844589097	chr1
chr1_28552493	0.474140523203	chr1
chr1_28612354	0.455370238761	chr1
chr1_28678486	0.438799704004	chr1
chr1_28744702	0.422316033441	chr1
chr1_28805106	0.477239770506	chr1
chr1_28868549	0.485880686745	chr1
chr1_28937744	0.470198772503	chr1
chr1_29006012	0.455622294042	chr1
chr1_29071607	0.455848708791	chr1
chr1_29132363	0.498721526815	chr1
chr1_29192199	0.489331103679	chr1
chr1_29251998	0.403792134831	chr1
chr1_29310381	0.39655084007	chr1
chr1_29368887	0.401085148914	chr1
chr1_29428417	0.493688250184	chr1
chr1_29489651	0.464693853001	chr1
chr1_29547841	0.501702025871	chr1
chr1_29602187	0.51978245837	chr1
chr1_29655693	0.476539883109	chr1
chr1_29710615	0.47496886675	chr1
chr1_29766824	0.500066470421	chr1
chr1_29819478	0.475726093002	chr1
chr1_29871261	0.492861409221	chr1
chr1_30073161	0.461862548851	chr1
chr1_30125615	0.47518828215	chr1
chr1_30178593	0.51336597445	chr1
chr1_30231899	0.454580659438	chr1
chr1_30286126	0.464936651495	chr1
chr1_30336876	0.46607833378	chr1
chr1_30389113	0.50225281362	chr1
chr1_30441269	0.448704796102	chr1
chr1_30495854	0.4834094428	chr1
chr1_30546876	0.513338567899	chr1
chr1_30599092	0.447108915636	chr1
chr1_30653344	0.472326940939	chr1
chr1_30708252	0.493784503725	chr1
chr1_30760057	0.479979970341	chr1
chr1_30811979	0.474081474081	chr1
chr1_30866032	0.471270860077	chr1
chr1_30924456	0.486176292181	chr1
chr1_30987101	0.449483789859	chr1
chr1_31039598	0.453905811342	chr1
chr1_31096589	0.494887834748	chr1
chr1_31149501	0.530253347387	chr1
chr1_31200734	0.529080020931	chr1
chr1_31252332	0.506894659839	chr1
chr1_31307011	0.51473061587	chr1
chr1_31359927	0.50051485864	chr1
chr1_31415281	0.396561225614	chr1
chr1_31469718	0.41197286936	chr1
chr1_31527364	0.452939432246	chr1
chr1_31591440	0.488233707057	chr1
chr1_31658155	0.501600747015	chr1
chr1_31718126	0.431999449945	chr1
chr1_31776301	0.412455701668	chr1
chr1_31831889	0.494441068173	chr1
chr1_31887834	0.468465299518	chr1
chr1_31944691	0.438944219834	chr1
chr1_32005536	0.486071205497	chr1
chr1_32061570	0.480913428766	chr1
chr1_32114381	0.552777941552	chr1
chr1_32165263	0.559237084853	chr1
chr1_32216539	0.556502525253	chr1
chr1_32267226	0.453982594136	chr1
chr1_32324562	0.429883897022	chr1
chr1_32383991	0.452659367712	chr1
chr1_32445734	0.451749979412	chr1
chr1_32506448	0.469303567095	chr1
chr1_32568262	0.44196936685	chr1
chr1_32629763	0.503204957474	chr1
chr1_32686081	0.507133296334	chr1
chr1_32747342	0.485965352749	chr1
chr1_32807086	0.503026050346	chr1
chr1_32864090	0.451943984065	chr1
chr1_32929856	0.455322932665	chr1
chr1_32991710	0.44043069409	chr1
chr1_33054770	0.444806605824	chr1
chr1_33119197	0.467670463411	chr1
chr1_33183286	0.53356796157	chr1
chr1_33243238	0.440723453909	chr1
chr1_33303227	0.490747407834	chr1
chr1_33358778	0.472090261283	chr1
chr1_33416033	0.482602245524	chr1
chr1_33475350	0.463821060053	chr1
chr1_33537761	0.461949600933	chr1
chr1_33593515	0.505348993791	chr1
chr1_33646982	0.424676117479	chr1
chr1_33705953	0.49464644619	chr1
chr1_33760682	0.501185121592	chr1
chr1_33814262	0.474802229586	chr1
chr1_33866468	0.412759769544	chr1
chr1_33920794	0.451175630652	chr1
chr1_33973318	0.450295670342	chr1
chr1_34026924	0.442910819722	chr1
chr1_34079087	0.464153215625	chr1
chr1_34130569	0.438189072836	chr1
chr1_34187710	0.436952512679	chr1
chr1_34239765	0.460586689674	chr1
chr1_34290762	0.45275562644	chr1
chr1_34347191	0.452786188479	chr1
chr1_34400363	0.480425221387	chr1
chr1_34451065	0.442814563731	chr1
chr1_34502397	0.453833688389	chr1
chr1_34557317	0.438692801459	chr1
chr1_34615425	0.486689419795	chr1
chr1_34666699	0.429313965096	chr1
chr1_34724800	0.417511162881	chr1
chr1_34776309	0.440963479143	chr1
chr1_34827539	0.41432619955	chr1
chr1_34878703	0.467011770263	chr1
chr1_34929508	0.405410511203	chr1
chr1_34982441	0.425960424953	chr1
chr1_35042023	0.451829652395	chr1
chr1_35094409	0.447233928091	chr1
chr1_35150173	0.459456333141	chr1
chr1_35202042	0.508998579684	chr1
chr1_35253438	0.458046104811	chr1
chr1_35307401	0.479435201484	chr1
chr1_35360233	0.470036169808	chr1
chr1_35412762	0.417578980294	chr1
chr1_35473504	0.41108685883	chr1
chr1_35535811	0.426269797925	chr1
chr1_35601726	0.434112605016	chr1
chr1_35666358	0.423273146001	chr1
chr1_35728884	0.409286598226	chr1
chr1_35786256	0.374247786021	chr1
chr1_35841924	0.390882570033	chr1
chr1_35898825	0.435188881228	chr1
chr1_35953938	0.402054939623	chr1
chr1_36010581	0.502115233424	chr1
chr1_36064002	0.413720373217	chr1
chr1_36119947	0.47050894323	chr1
chr1_36177811	0.43737403831	chr1
chr1_36234871	0.440999775115	chr1
chr1_36297124	0.434342737974	chr1
chr1_36355144	0.430341122947	chr1
chr1_36409874	0.374332873856	chr1
chr1_36466459	0.399539503538	chr1
chr1_36525959	0.498547560782	chr1
chr1_36582759	0.522162430079	chr1
chr1_36639250	0.489485326189	chr1
chr1_36703445	0.43263279936	chr1
chr1_36764683	0.532631957558	chr1
chr1_36820287	0.494701232352	chr1
chr1_36878224	0.470595399659	chr1
chr1_36935697	0.492100071579	chr1
chr1_36992975	0.479763228835	chr1
chr1_37046021	0.497821076485	chr1
chr1_37097651	0.471357817026	chr1
chr1_37151155	0.487131403203	chr1
chr1_37203413	0.479998484734	chr1
chr1_37256208	0.510353060905	chr1
chr1_37307303	0.502025980217	chr1
chr1_37357648	0.452671475258	chr1
chr1_37409360	0.520565752202	chr1
chr1_37460901	0.506691044892	chr1
chr1_37512312	0.491417818244	chr1
chr1_37564920	0.478683226912	chr1
chr1_37616287	0.417745657024	chr1
chr1_37668727	0.431387269109	chr1
chr1_37726004	0.494103588779	chr1
chr1_37777051	0.478701249527	chr1
chr1_37829870	0.466849634065	chr1
chr1_37889989	0.505635089857	chr1
chr1_37945799	0.459567254961	chr1
chr1_38005972	0.443458076405	chr1
chr1_38062407	0.495271911105	chr1
chr1_38116762	0.491942744795	chr1
chr1_38171184	0.497581290463	chr1
chr1_38226171	0.486468798642	chr1
chr1_38282706	0.44207734729	chr1
chr1_38339643	0.462226699058	chr1
chr1_38407150	0.482286112122	chr1
chr1_38470348	0.513105098472	chr1
chr1_38524677	0.492183951552	chr1
chr1_38577516	0.491151677553	chr1
chr1_38631254	0.47917416422	chr1
chr1_38684048	0.482594723575	chr1
chr1_38736014	0.418235215592	chr1
chr1_38788450	0.448661148032	chr1
chr1_38839911	0.398436694726	chr1
chr1_38898120	0.433974907859	chr1
chr1_38951841	0.439533596687	chr1
chr1_39004241	0.46821959499	chr1
chr1_39055498	0.447377895116	chr1
chr1_39113828	0.436604604755	chr1
chr1_39166946	0.44552370473	chr1
chr1_39219656	0.456917315705	chr1
chr1_39276534	0.43603848947	chr1
chr1_39331613	0.439643959695	chr1
chr1_39395425	0.460473378171	chr1
chr1_39461291	0.45049512504	chr1
chr1_39526829	0.473843471969	chr1
chr1_39587635	0.428201630112	chr1
chr1_39644808	0.432790654427	chr1
chr1_39703958	0.412000215444	chr1
chr1_39759656	0.406344328965	chr1
chr1_39814980	0.418427696884	chr1
chr1_39872805	0.418251932764	chr1
chr1_39927001	0.501679891343	chr1
chr1_39996945	0.468079091348	chr1
chr1_40057077	0.495476482901	chr1
chr1_40114885	0.511074249307	chr1
chr1_40167935	0.433990398603	chr1
chr1_40222926	0.511459491714	chr1
chr1_40296663	0.4281852395	chr1
chr1_40353259	0.485032164384	chr1
chr1_40412485	0.477436105477	chr1
chr1_40474109	0.428826110806	chr1
chr1_40532444	0.421432996077	chr1
chr1_40590559	0.414156678229	chr1
chr1_40648792	0.393952284732	chr1
chr1_40705209	0.419129389542	chr1
chr1_40763443	0.480476174021	chr1
chr1_40821320	0.419144765259	chr1
chr1_40881513	0.418057383522	chr1
chr1_40938497	0.421328088539	chr1
chr1_40998492	0.420755816701	chr1
chr1_41061972	0.470320701805	chr1
chr1_41117599	0.467678229943	chr1
chr1_41173551	0.416370758136	chr1
chr1_41228184	0.524568116381	chr1
chr1_41280975	0.526251226693	chr1
chr1_41333962	0.472613597905	chr1
chr1_41390102	0.458076668533	chr1
chr1_41449030	0.476639746396	chr1
chr1_41502025	0.406138960714	chr1
chr1_41561969	0.377264704823	chr1
chr1_41617494	0.38715484265	chr1
chr1_41679711	0.417334384569	chr1
chr1_41734249	0.456897538638	chr1
chr1_41786658	0.500580410664	chr1
chr1_41839206	0.543484235738	chr1
chr1_41890143	0.507645200296	chr1
chr1_41941416	0.556505279936	chr1
chr1_41991605	0.499610274579	chr1
chr1_42048054	0.47212228467	chr1
chr1_42099474	0.494579439252	chr1
chr1_42150298	0.496547789995	chr1
chr1_42201134	0.476842965469	chr1
chr1_42253752	0.460546194073	chr1
chr1_42305381	0.455441408253	chr1
chr1_42358041	0.410613870665	chr1
chr1_42409256	0.422521052718	chr1
chr1_42469936	0.416093312242	chr1
chr1_42522404	0.384296068159	chr1
chr1_42582146	0.467276861636	chr1
chr1_42634478	0.406833721685	chr1
chr1_42686835	0.379354447848	chr1
chr1_42746256	0.380729147212	chr1
chr1_42799797	0.43509909144	chr1
chr1_42856259	0.431204157606	chr1
chr1_42910520	0.396794825205	chr1
chr1_42965555	0.394245062646	chr1
chr1_43022062	0.390249421266	chr1
chr1_43079514	0.417069052845	chr1
chr1_43138743	0.423917815436	chr1
chr1_43195687	0.499039376582	chr1
chr1_43251379	0.435187529386	chr1
chr1_43306676	0.428605699207	chr1
chr1_43365034	0.482418120831	chr1
chr1_43418099	0.489797330013	chr1
chr1_43475926	0.478562409973	chr1
chr1_43532158	0.427717671303	chr1
chr1_43600092	0.429528849499	chr1
chr1_43654702	0.450557090324	chr1
chr1_43709360	0.476532116283	chr1
chr1_43765670	0.503161107478	chr1
chr1_43820713	0.473840591383	chr1
chr1_43876581	0.50657956311	chr1
chr1_43930003	0.440689386148	chr1
