bin.chrom	bin.start	bin.end	bin.length	gene.count	cgi.count	dist.telomere	gc.content	chrom.arm
chr1	9781984	9930954	148971	2	4	9781984	0.492579093	chr1p
chr1	9930955	10094561	163607	4	5	9930955	0.476587188	chr1p
chr1	10094562	10245607	151046	0	0	10094562	0.441223204	chr1p
chr1	10245608	10393623	148016	1	2	10245608	0.421494974	chr1p
chr1	10393624	10546323	152700	6	4	10393624	0.46540275	chr1p
chr1	10546324	10684668	138345	0	0	10546324	0.4427988	chr1p
chr1	10684669	10813177	128509	1	12	10684669	0.580044977	chr1p
chr1	10813178	10946785	133608	0	2	10813178	0.525612239	chr1p
chr1	10946786	11096881	150096	3	1	10946786	0.500346445	chr1p
chr1	11096882	11248166	151285	3	2	11096882	0.471090987	chr1p
chr1	11248167	11393345	145179	2	2	11248167	0.470612141	chr1p
chr1	11393346	11533247	139902	0	0	11393346	0.504431674	chr1p
chr1	11533248	11665889	132642	1	4	11533248	0.512153013	chr1p
chr1	11665890	11808115	142226	6	8	11665890	0.531442915	chr1p
chr1	11808116	11947630	139515	5	4	11808116	0.516030534	chr1p
chr1	11947631	12099837	152207	4	4	11947631	0.519312515	chr1p
chr1	12099838	12242984	143147	2	2	12099838	0.515735573	chr1p
chr1	12242985	12382555	139571	1	3	12242985	0.457215324	chr1p
chr1	12382556	12519463	136908	0	0	12382556	0.412817366	chr1p
chr1	12519464	12656323	136860	3	2	12519464	0.484845828	chr1p
chr1	12656324	12799628	143305	2	1	12656324	0.461351663	chr1p
chr1	12799629	13791360	991732	26	0	12799629	0.460103924	chr1p
chr1	13791361	13938030	146670	2	4	13791361	0.475236926	chr1p
chr1	13938031	14080443	142413	1	2	13938031	0.422622935	chr1p
chr1	14080444	14216061	135618	0	0	14080444	0.444948311	chr1p
chr1	14216062	14351188	135127	0	1	14216062	0.430506116	chr1p
chr1	14351189	14486096	134908	0	0	14351189	0.431516293	chr1p
chr1	14486097	14620851	134755	0	0	14486097	0.416051352	chr1p
chr1	14620852	14761984	141133	0	0	14620852	0.422955652	chr1p
chr1	14761985	14896404	134420	0	0	14761985	0.43596935	chr1p
chr1	14896405	15028810	132406	1	1	14896405	0.459087957	chr1p
chr1	15028811	15162214	133404	0	1	15028811	0.479078588	chr1p
chr1	15162215	15298519	136305	0	1	15162215	0.497942115	chr1p
chr1	15298520	15435252	136733	0	1	15298520	0.515881316	chr1p
chr1	15435253	15571555	136303	2	2	15435253	0.481368715	chr1p
chr1	15571556	15710621	139066	1	1	15571556	0.472732372	chr1p
chr1	15710622	15856870	146249	6	4	15710622	0.500550431	chr1p
chr1	15856871	16006377	149507	3	3	15856871	0.444173183	chr1p
chr1	16006378	16161587	155210	6	7	16006378	0.519650796	chr1p
chr1	16161588	16305049	143462	2	7	16161588	0.456929361	chr1p
chr1	16305050	16455296	150247	6	1	16305050	0.547338716	chr1p
chr1	16455297	16592897	137601	3	8	16455297	0.529865335	chr1p
chr1	16592898	16749627	156730	2	2	16592898	0.465539463	chr1p
chr1	16749628	17012937	263310	6	13	16749628	0.47259504	chr1p
chr1	17012938	17316775	303838	5	19	17012938	0.507756916	chr1p
chr1	17316776	17456878	140103	2	4	17316776	0.49806214	chr1p
chr1	17456879	17591132	134254	2	1	17456879	0.498867818	chr1p
chr1	17591133	17732328	141196	2	0	17591133	0.499631718	chr1p
chr1	17732329	17888408	156080	2	4	17732329	0.502607637	chr1p
chr1	17888409	18018636	130228	0	1	17888409	0.547900605	chr1p
chr1	18018637	18151630	132994	1	1	18018637	0.496729176	chr1p
chr1	18151631	18282578	130948	0	1	18151631	0.48933928	chr1p
chr1	18282579	18412468	129890	0	0	18282579	0.483193471	chr1p
chr1	18412469	18543189	130721	1	3	18412469	0.500447518	chr1p
chr1	18543190	18671305	128116	0	0	18543190	0.496027038	chr1p
chr1	18671306	18802209	130904	0	2	18671306	0.480848561	chr1p
chr1	18802210	18935736	133527	1	1	18802210	0.47897429	chr1p
chr1	18935737	19067516	131780	1	8	18935737	0.517218091	chr1p
chr1	19067517	19198860	131344	2	2	19067517	0.497944329	chr1p
chr1	19198861	19330664	131804	1	4	19198861	0.514263604	chr1p
chr1	19330665	19463208	132544	1	0	19330665	0.483839329	chr1p
chr1	19463209	19600853	137645	3	3	19463209	0.449431509	chr1p
chr1	19600854	19738875	138022	5	3	19600854	0.508846416	chr1p
chr1	19738876	19882679	143804	0	1	19738876	0.46339462	chr1p
chr1	19882680	20026171	143492	5	4	19882680	0.483720347	chr1p
chr1	20026172	20166519	140348	1	1	20026172	0.475190241	chr1p
chr1	20166520	20305588	139069	3	1	20166520	0.445124363	chr1p
chr1	20305589	20453113	147525	2	0	20305589	0.441877648	chr1p
chr1	20453114	20587222	134109	3	2	20453114	0.47687329	chr1p
chr1	20587223	20717463	130241	2	2	20587223	0.499512442	chr1p
chr1	20717464	20852435	134972	2	2	20717464	0.485522923	chr1p
chr1	20852436	20996779	144344	5	3	20852436	0.486899352	chr1p
chr1	20996780	21138777	141998	3	5	20996780	0.476048958	chr1p
chr1	21138778	21280224	141447	0	0	21138778	0.390131993	chr1p
chr1	21280225	21421792	141568	0	0	21280225	0.390109347	chr1p
chr1	21421793	21570422	148630	1	2	21421793	0.441667227	chr1p
chr1	21570423	21711590	141168	0	2	21570423	0.508748442	chr1p
chr1	21711591	21890020	178430	2	5	21711591	0.475923331	chr1p
chr1	21890021	22023562	133542	2	6	21890021	0.53807042	chr1p
chr1	22023563	22171654	148092	2	4	22023563	0.460436756	chr1p
chr1	22171655	22330611	158957	2	3	22171655	0.534609989	chr1p
chr1	22330612	22480790	150179	3	5	22330612	0.477550124	chr1p
chr1	22480791	22613445	132655	0	1	22480791	0.518435038	chr1p
chr1	22613446	22746844	133399	0	1	22613446	0.482799721	chr1p
chr1	22746845	22880030	133186	1	1	22746845	0.443890499	chr1p
chr1	22880031	23010039	130009	4	6	22880031	0.534947581	chr1p
chr1	23010040	23142161	132122	1	2	23010040	0.514176292	chr1p
chr1	23142162	23277354	135193	1	0	23142162	0.50275532	chr1p
chr1	23277355	23419547	142193	3	2	23277355	0.432531841	chr1p
chr1	23419548	23563397	143850	1	2	23419548	0.449419534	chr1p
chr1	23563398	23708487	145090	4	2	23563398	0.428596044	chr1p
chr1	23708488	23852831	144344	2	3	23708488	0.493806462	chr1p
chr1	23852832	23998941	146110	2	6	23852832	0.49032236	chr1p
chr1	23998942	24151206	152265	6	5	23998942	0.477299445	chr1p
chr1	24151207	24404913	253707	5	4	24151207	0.458410686	chr1p
chr1	24404914	24541222	136309	3	1	24404914	0.498235626	chr1p
chr1	24541223	24679203	137981	1	1	24541223	0.473666664	chr1p
chr1	24679204	24813554	134351	2	2	24679204	0.447640881	chr1p
chr1	24813555	24958360	144806	2	2	24813555	0.451680179	chr1p
chr1	24958361	25108885	150525	2	2	24958361	0.452077728	chr1p
chr1	25108886	25252076	143191	1	3	25108886	0.461663093	chr1p
chr1	25252077	25379588	127512	0	1	25252077	0.529863856	chr1p
chr1	25379589	25518639	139051	0	0	25379589	0.474480586	chr1p
chr1	25518640	25751450	232811	5	7	25518640	0.461421496	chr1p
chr1	25751451	25893371	141921	2	2	25751451	0.460234919	chr1p
chr1	25893372	26032573	139202	1	2	25893372	0.479037658	chr1p
chr1	26032574	26166459	133886	4	2	26032574	0.511606889	chr1p
chr1	26166460	26311028	144569	4	4	26166460	0.469063215	chr1p
chr1	26311029	26452544	141516	4	4	26311029	0.486001583	chr1p
chr1	26452545	26599632	147088	5	5	26452545	0.483384097	chr1p
chr1	26599633	26743604	143972	6	6	26599633	0.51245381	chr1p
chr1	26743605	26895243	151639	4	4	26743605	0.485587481	chr1p
chr1	26895244	27052855	157612	1	2	26895244	0.45679263	chr1p
chr1	27052856	27200851	147996	3	5	27052856	0.488222655	chr1p
chr1	27200852	27352225	151374	7	7	27200852	0.496769591	chr1p
chr1	27352226	27503204	150979	1	1	27352226	0.506341942	chr1p
chr1	27503205	27660552	157348	3	3	27503205	0.461810763	chr1p
chr1	27660553	27805948	145396	6	6	27660553	0.498885802	chr1p
chr1	27805949	27943232	137284	2	7	27805949	0.536282451	chr1p
chr1	27943233	28092680	149448	2	5	27943233	0.467252824	chr1p
chr1	28092681	28245872	153192	5	4	28092681	0.456753616	chr1p
chr1	28245873	28389359	143487	3	2	28245873	0.432471234	chr1p
chr1	28389360	28540150	150791	3	1	28389360	0.449317267	chr1p
chr1	28540151	28700521	160371	4	6	28540151	0.462315506	chr1p
chr1	28700522	28857285	156764	2	2	28700522	0.439010232	chr1p
chr1	28857286	29028132	170847	10	4	28857286	0.476145323	chr1p
chr1	29028133	29181916	153784	2	3	29028133	0.46826718	chr1p
chr1	29181917	29329135	147219	1	3	29181917	0.446987142	chr1p
chr1	29329136	29478949	149814	2	2	29329136	0.435366521	chr1p
chr1	29478950	29618814	139865	2	5	29478950	0.484424266	chr1p
chr1	29618815	29756988	138174	0	0	29618815	0.486668983	chr1p
chr1	29756989	30037761	280773	0	1	29756989	0.490766443	chr1p
chr1	30037762	30168966	131205	0	0	30037762	0.468152891	chr1p
chr1	30168967	30301934	132968	0	0	30168967	0.478250406	chr1p
chr1	30301935	30431576	129642	0	0	30301935	0.479767359	chr1p
chr1	30431577	30563396	131820	0	0	30431577	0.475557579	chr1p
chr1	30563397	30698468	135072	0	0	30563397	0.473813966	chr1p
chr1	30698469	30829216	130748	0	0	30698469	0.475808425	chr1p
chr1	30829217	30977163	147947	0	0	30829217	0.483342008	chr1p
chr1	30977164	31112237	135074	0	0	30977164	0.457941573	chr1p
chr1	31112238	31241730	129493	3	4	31112238	0.522839072	chr1p
chr1	31241731	31375958	134228	1	2	31241731	0.516956224	chr1p
chr1	31375959	31513984	138026	5	2	31375959	0.422608784	chr1p
chr1	31513985	31677153	163169	1	3	31513985	0.473717434	chr1p
chr1	31677154	31821119	143966	2	2	31677154	0.445688565	chr1p
chr1	31821120	31963577	142458	2	1	31821120	0.467506212	chr1p
chr1	31963578	32104002	140425	5	3	31963578	0.472964216	chr1p
chr1	32104003	32231406	127404	3	7	32104003	0.553067408	chr1p
chr1	32231407	32372484	141078	2	2	32231407	0.472433689	chr1p
chr1	32372485	32523379	150895	1	3	32372485	0.444176414	chr1p
chr1	32523380	32673497	150118	5	5	32523380	0.471222638	chr1p
chr1	32673498	32824112	150615	8	7	32673498	0.502878199	chr1p
chr1	32824113	32977769	153657	4	5	32824113	0.462738437	chr1p
chr1	32977770	33137957	160188	3	2	32977770	0.441893275	chr1p
chr1	33137958	33291889	153932	4	5	33137958	0.494101291	chr1p
chr1	33291890	33433500	141611	4	4	33291890	0.471396996	chr1p
chr1	33433501	33582018	148518	2	4	33433501	0.468374204	chr1p
chr1	33582019	33721421	139403	1	4	33582019	0.465183676	chr1p
chr1	33721422	33855842	134421	3	6	33721422	0.499505286	chr1p
chr1	33855843	33989369	133527	2	2	33855843	0.436301272	chr1p
chr1	33989370	34119604	130235	0	2	33989370	0.448351058	chr1p
chr1	34119605	34254233	134629	0	0	34119605	0.444146506	chr1p
chr1	34254234	34389262	135029	1	0	34254234	0.451954765	chr1p
chr1	34389263	34516962	127700	0	0	34389263	0.460062647	chr1p
chr1	34516963	34655810	138848	1	2	34516963	0.456391162	chr1p
chr1	34655811	34791052	135242	0	0	34655811	0.428809098	chr1p
chr1	34791053	34918373	127321	0	0	34791053	0.44098774	chr1p
chr1	34918374	35056788	138415	0	0	34918374	0.424354297	chr1p
chr1	35056789	35190278	133490	0	0	35056789	0.452003895	chr1p
chr1	35190279	35322032	131754	5	4	35190279	0.482027111	chr1p
chr1	35322033	35461320	139288	3	7	35322033	0.456464304	chr1p
chr1	35461321	35623193	161873	1	3	35461321	0.418995138	chr1p
chr1	35623194	35771969	148776	2	2	35623194	0.421943055	chr1p
chr1	35771970	35913016	141047	1	0	35771970	0.395407205	chr1p
chr1	35913017	36051906	138890	2	3	35913017	0.435474116	chr1p
chr1	36051907	36193240	141334	2	3	36051907	0.454936533	chr1p
chr1	36193241	36342442	149202	2	2	36193241	0.427098832	chr1p
chr1	36342443	36482258	139816	2	2	36342443	0.407821709	chr1p
chr1	36482259	36626295	144037	5	5	36482259	0.478411797	chr1p
chr1	36626296	36781061	154766	2	4	36626296	0.468203611	chr1p
chr1	36781062	36923312	142251	5	5	36781062	0.498787355	chr1p
chr1	36923313	37059664	136352	1	1	36923313	0.491609951	chr1p
chr1	37059665	37190950	131286	0	0	37059665	0.48049297	chr1p
chr1	37190951	37320457	129507	1	0	37190951	0.497679662	chr1p
chr1	37320458	37448774	128317	0	0	37320458	0.486132001	chr1p
chr1	37448775	37578364	129590	0	1	37448775	0.499791651	chr1p
chr1	37578365	37713866	135502	1	0	37578365	0.434325693	chr1p
chr1	37713867	37850187	136321	0	1	37713867	0.479023775	chr1p
chr1	37850188	37990639	140452	2	2	37850188	0.48575314	chr1p
chr1	37990640	38130862	140223	4	4	37990640	0.472825428	chr1p
chr1	38130863	38269880	139018	5	8	38130863	0.486699564	chr1p
chr1	38269881	38422012	152132	3	3	38269881	0.464261299	chr1p
chr1	38422013	38564488	142476	5	5	38422013	0.495388697	chr1p
chr1	38564489	38697637	133149	0	0	38564489	0.477833104	chr1p
chr1	38697638	38827158	129521	0	0	38697638	0.453795137	chr1p
chr1	38827159	38964768	137610	0	1	38827159	0.418501562	chr1p
chr1	38964769	39094976	130208	0	1	38964769	0.452568199	chr1p
chr1	39094977	39233907	138931	0	1	39094977	0.445408152	chr1p
chr1	39233908	39379166	145259	5	4	39233908	0.439070901	chr1p
chr1	39379167	39544822	165656	2	1	39379167	0.456343266	chr1p
chr1	39544823	39688532	143710	1	2	39544823	0.444102707	chr1p
chr1	39688533	39828551	140019	0	0	39688533	0.413436748	chr1p
chr1	39828552	39971835	143284	2	2	39828552	0.434870607	chr1p
chr1	39971836	40127680	155845	5	3	39971836	0.495132985	chr1p
chr1	40127681	40282193	154513	4	6	40127681	0.486282708	chr1p
chr1	40282194	40425891	143698	3	3	40282194	0.465246559	chr1p
chr1	40425892	40575789	149898	2	2	40425892	0.4421073	chr1p
chr1	40575790	40719785	143996	2	2	40575790	0.407261313	chr1p
chr1	40719786	40868141	148356	3	7	40719786	0.443170482	chr1p
chr1	40868142	41013291	145150	4	4	40868142	0.416093696	chr1p
chr1	41013292	41158472	145181	3	3	41013292	0.459509164	chr1p
chr1	41158473	41292896	134424	3	4	41158473	0.473799322	chr1p
chr1	41292897	41433559	140663	1	3	41292897	0.477865537	chr1p
chr1	41433560	41574998	141439	3	2	41433560	0.439207008	chr1p
chr1	41574999	41719132	144134	0	1	41574999	0.386598582	chr1p
chr1	41719133	41851080	131948	0	3	41719133	0.483523812	chr1p
chr1	41851081	41978210	127130	2	2	41851081	0.530496342	chr1p
chr1	41978211	42111426	133216	0	1	41978211	0.490624249	chr1p
chr1	42111427	42239349	127923	0	1	42111427	0.494727297	chr1p
chr1	42239350	42369953	130604	0	0	42239350	0.460108419	chr1p
chr1	42369954	42507301	137348	0	2	42369954	0.412710778	chr1p
chr1	42507302	42646102	138801	3	1	42507302	0.42659635	chr1p
chr1	42646103	42785685	139583	0	0	42646103	0.383234348	chr1p
chr1	42785686	42922715	137030	3	3	42785686	0.427110852	chr1p
chr1	42922716	43064746	142031	1	1	42922716	0.389759982	chr1p
chr1	43064747	43207516	142770	3	3	43064747	0.429516005	chr1p
chr1	43207517	43347608	140092	5	4	43207517	0.449069183	chr1p
chr1	43347609	43488676	141068	2	6	43347609	0.476862222	chr1p
chr1	43488677	43638411	149735	3	3	43488677	0.444271546	chr1p
chr1	43638412	43776961	138550	3	2	43638412	0.465961747	chr1p
chr1	43776962	43913770	136809	6	5	43776962	0.492131366	chr1p
chr1	43913771	44049410	135640	2	3	43913771	0.494758183	chr1p
chr1	44049411	44190161	140751	3	5	44049411	0.492870388	chr1p
chr1	44190162	44325637	135476	0	0	44190162	0.420709203	chr1p
chr1	44325638	44458258	132621	6	7	44325638	0.51036412	chr1p
chr1	44458259	44598111	139853	2	2	44458259	0.477680136	chr1p
chr1	44598112	44734952	136841	2	1	44598112	0.454775981	chr1p
chr1	44734953	44866883	131931	0	1	44734953	0.453979732	chr1p
chr1	44866884	45003369	136486	1	2	44866884	0.443217619	chr1p
chr1	45003370	45137955	134586	1	3	45003370	0.502035873	chr1p
chr1	45137956	45288317	150362	12	9	45137956	0.493548902	chr1p
chr1	45288318	45438650	150333	1	1	45288318	0.442737124	chr1p
chr1	45438651	45589046	150396	3	2	45438651	0.43628155	chr1p
chr1	45589047	45742362	153316	0	1	45589047	0.404647917	chr1p
chr1	45742363	45896332	153970	5	3	45742363	0.441917257	chr1p
chr1	45896333	46055531	159199	5	5	45896333	0.453928731	chr1p
chr1	46055532	46203855	148324	5	2	46055532	0.423606429	chr1p
chr1	46203856	46353355	149500	1	2	46203856	0.4149699	chr1p
chr1	46353356	46497245	143890	0	0	46353356	0.416741956	chr1p
chr1	46497246	46638613	141368	1	2	46497246	0.425966272	chr1p
chr1	46638614	46787466	148853	6	3	46638614	0.484350332	chr1p
chr1	46787467	46936514	149048	2	4	46787467	0.497785948	chr1p
chr1	46936515	47070110	133596	3	6	46936515	0.509581125	chr1p
chr1	47070111	47209524	139414	4	4	47070111	0.429074555	chr1p
chr1	47209525	47402244	192720	3	0	47209525	0.420594645	chr1p
chr1	47402245	47597714	195470	2	1	47402245	0.403637387	chr1p
chr1	47597715	47750865	153151	4	2	47597715	0.459330987	chr1p
chr1	47750866	47899617	148752	3	4	47750866	0.442857911	chr1p
chr1	47899618	48031074	131457	1	6	47899618	0.480925322	chr1p
chr1	48031075	48162023	130949	0	1	48031075	0.469167386	chr1p
chr1	48162024	48288933	126910	1	2	48162024	0.498928374	chr1p
chr1	48288934	48416475	127542	0	0	48288934	0.476705713	chr1p
chr1	48416476	48549071	132596	0	3	48416476	0.465428821	chr1p
chr1	48549072	48698655	149584	2	0	48549072	0.418440475	chr1p
chr1	48698656	48850696	152041	1	0	48698656	0.388691208	chr1p
chr1	48850697	48994399	143703	0	1	48850697	0.388871492	chr1p
chr1	48994400	49123558	129159	1	0	48994400	0.436918836	chr1p
chr1	49123559	49250484	126926	1	1	49123559	0.448560579	chr1p
chr1	49250485	49381140	130656	0	1	49250485	0.401627174	chr1p
chr1	49381141	49515275	134135	0	0	49381141	0.396563164	chr1p
chr1	49515276	49659906	144631	0	0	49515276	0.387773022	chr1p
chr1	49659907	49803208	143302	0	0	49659907	0.378633934	chr1p
chr1	49803209	49937029	133821	0	0	49803209	0.37414905	chr1p
chr1	49937030	50088619	151590	0	0	49937030	0.379141104	chr1p
chr1	50088620	50233729	145110	0	0	50088620	0.364158225	chr1p
chr1	50233730	50379272	145543	0	0	50233730	0.367458414	chr1p
chr1	50379273	50525258	145986	1	2	50379273	0.374755114	chr1p
chr1	50525259	50655923	130665	0	0	50525259	0.400352045	chr1p
chr1	50655924	50787510	131587	0	0	50655924	0.439496303	chr1p
chr1	50787511	50925455	137945	2	8	50787511	0.444358259	chr1p
chr1	50925456	51060213	134758	0	0	50925456	0.372081806	chr1p
chr1	51060214	51205492	145279	0	0	51060214	0.388170348	chr1p
chr1	51205493	51347771	142279	0	0	51205493	0.371664125	chr1p
chr1	51347772	51499714	151943	1	3	51347772	0.39407541	chr1p
chr1	51499715	51641262	141548	1	0	51499715	0.394198434	chr1p
chr1	51641263	51785938	144676	2	1	51641263	0.447123227	chr1p
chr1	51785939	51929146	143208	1	2	51785939	0.405270655	chr1p
chr1	51929147	52075048	145902	0	1	51929147	0.413414484	chr1p
chr1	52075049	52212630	137582	1	1	52075049	0.394259423	chr1p
chr1	52212631	52348350	135720	2	1	52212631	0.39110669	chr1p
chr1	52348351	52491483	143133	2	1	52348351	0.44269316	chr1p
chr1	52491484	52648723	157240	3	4	52491484	0.427041465	chr1p
chr1	52648724	52793308	144585	0	0	52648724	0.400055331	chr1p
chr1	52793309	52936460	143152	4	3	52793309	0.428858835	chr1p
chr1	52936461	53076066	139606	1	2	52936461	0.409065513	chr1p
chr1	53076067	53227542	151476	3	3	53076067	0.450982334	chr1p
chr1	53227543	53379432	151890	2	1	53227543	0.426236092	chr1p
chr1	53379433	53526274	146842	1	2	53379433	0.407819289	chr1p
chr1	53526275	53657397	131123	2	3	53526275	0.507492965	chr1p
chr1	53657398	53789031	131634	4	4	53657398	0.486675175	chr1p
chr1	53789032	53925849	136818	2	3	53789032	0.473073718	chr1p
chr1	53925850	54054746	128897	1	0	53925850	0.525535893	chr1p
chr1	54054747	54183438	128692	0	0	54054747	0.502113573	chr1p
chr1	54183439	54324005	140567	2	2	54183439	0.423676965	chr1p
chr1	54324006	54466582	142577	3	2	54324006	0.433225555	chr1p
chr1	54466583	54602055	135473	3	2	54466583	0.449196519	chr1p
chr1	54602056	54739700	137645	4	2	54602056	0.506614843	chr1p
chr1	54739701	54870827	131127	0	2	54739701	0.499607251	chr1p
chr1	54870828	55026037	155210	1	6	54870828	0.493119	chr1p
chr1	55026038	55171516	145479	3	0	55026038	0.49986596	chr1p
chr1	55171517	55305485	133969	4	5	55171517	0.481051587	chr1p
chr1	55305486	55453230	147745	2	2	55305486	0.459426715	chr1p
chr1	55453231	55589558	136328	3	2	55453231	0.467570859	chr1p
chr1	55589559	55722910	133352	0	1	55589559	0.38685584	chr1p
chr1	55722911	55856859	133949	0	0	55722911	0.437054401	chr1p
chr1	55856860	55997352	140493	0	0	55856860	0.416796566	chr1p
chr1	55997353	56132198	134846	0	0	55997353	0.407598297	chr1p
chr1	56132199	56268936	136738	0	0	56132199	0.401775659	chr1p
chr1	56268937	56398101	129165	0	0	56268937	0.392513452	chr1p
chr1	56398102	56532250	134149	0	0	56398102	0.394680542	chr1p
chr1	56532251	56666081	133831	0	0	56532251	0.389027953	chr1p
chr1	56666082	56801062	134981	0	0	56666082	0.400034079	chr1p
chr1	56801063	56936847	135785	0	0	56801063	0.424877564	chr1p
chr1	56936848	57071041	134194	1	2	56936848	0.422351223	chr1p
chr1	57071042	57209397	138356	2	1	57071042	0.372741334	chr1p
chr1	57209398	57338861	129464	1	0	57209398	0.404568065	chr1p
chr1	57338862	57466959	128098	2	0	57338862	0.421239988	chr1p
chr1	57466960	57597148	130189	0	0	57466960	0.419628386	chr1p
chr1	57597149	57727305	130157	0	0	57597149	0.404964773	chr1p
chr1	57727306	57856587	129282	0	0	57727306	0.410699092	chr1p
chr1	57856588	57987889	131302	0	1	57856588	0.397861419	chr1p
chr1	57987890	58126543	138654	0	0	57987890	0.40779927	chr1p
chr1	58126544	58258881	132338	0	0	58126544	0.391830011	chr1p
chr1	58258882	58389819	130938	0	0	58258882	0.408315386	chr1p
chr1	58389820	58521024	131205	0	0	58389820	0.40922221	chr1p
chr1	58521025	58661629	140605	0	0	58521025	0.418882686	chr1p
chr1	58661630	58799826	138197	0	1	58661630	0.415964167	chr1p
chr1	58799827	58934768	134942	0	0	58799827	0.427739325	chr1p
chr1	58934769	59075145	140377	2	2	58934769	0.396781524	chr1p
chr1	59075146	59212169	137024	1	0	59075146	0.400360521	chr1p
chr1	59212170	59341397	129228	2	4	59212170	0.431655678	chr1p
chr1	59341398	59477071	135674	0	1	59341398	0.432971682	chr1p
chr1	59477072	59606334	129263	1	0	59477072	0.422170304	chr1p
chr1	59606335	59744143	137809	0	1	59606335	0.408609017	chr1p
chr1	59744144	59881262	137119	1	1	59744144	0.400221705	chr1p
